ranking,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
1,cell-biology,1,Harvard University,United States,Cambridge (U.S.),100,100,"21,887",https://www.usnews.com/education/best-global-universities/harvard-university-166027
2,cell-biology,2,Massachusetts Institute of Technology (MIT),United States,Cambridge (U.S.),93.6,97.7,"11,415",https://www.usnews.com/education/best-global-universities/massachusetts-institute-of-technology-mit-166683
3,cell-biology,3,Stanford University,United States,Stanford,83.7,95.2,"16,164",https://www.usnews.com/education/best-global-universities/stanford-university-243744
4,cell-biology,16,University of California San Francisco,United States,San Francisco,81.6,83.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-san-francisco-110699
5,cell-biology,21,Cornell University,United States,Ithaca,76.1,82.9,"24,027",https://www.usnews.com/education/best-global-universities/cornell-university-190415
6,cell-biology,20,University of California San Diego,United States,La Jolla,75.1,83.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-san-diego-110680
7,cell-biology,8,University of Cambridge,United Kingdom,Cambridge (U.K.),74.5,86.1,"20,385",https://www.usnews.com/education/best-global-universities/university-of-cambridge-502149
8,cell-biology,46,Icahn School of Medicine at Mount Sinai,United States,New York City,73.3,75.4,N/A,https://www.usnews.com/education/best-global-universities/icahn-school-of-medicine-at-mount-sinai-193405
9,cell-biology,15,University of Pennsylvania,United States,Philadelphia,73,84,"21,453",https://www.usnews.com/education/best-global-universities/university-of-pennsylvania-215062
10,cell-biology,10,Johns Hopkins University,United States,Baltimore,71.6,84.7,"17,584",https://www.usnews.com/education/best-global-universities/johns-hopkins-university-162928
11,cell-biology,32,Washington University (WUSTL),United States,St. Louis,71.2,78.1,"14,761",https://www.usnews.com/education/best-global-universities/washington-university-wustl-179867
12,cell-biology,48,Universite de Paris,France,Paris,70.1,75.2,N/A,https://www.usnews.com/education/best-global-universities/universite-de-paris-529677
13,cell-biology,7,Columbia University,United States,New York City,70,86.5,"21,781",https://www.usnews.com/education/best-global-universities/columbia-university-190150
14,cell-biology,12,University College London,United Kingdom,London (U.K.),69.3,84.4,"36,900",https://www.usnews.com/education/best-global-universities/university-college-london-501693
15,cell-biology,5,University of Oxford,United Kingdom,Oxford,69.2,86.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-oxford-503637
16,cell-biology,6,University of Washington Seattle,United States,Seattle,68.5,86.6,"47,727",https://www.usnews.com/education/best-global-universities/university-of-washington-seattle-236948
17,cell-biology,51,Karolinska Institutet,Sweden,Stockholm,68.4,74.9,"8,021",https://www.usnews.com/education/best-global-universities/karolinska-institutet-503151
18,cell-biology,31,New York University,United States,New York City,68.2,78.5,"36,337",https://www.usnews.com/education/best-global-universities/new-york-university-193900
19,cell-biology,134,Weizmann Institute of Science,Israel,Rehovot,67.9,67.3,N/A,https://www.usnews.com/education/best-global-universities/weizmann-institute-of-science-506795
20,cell-biology,14,University of California Los Angeles,United States,Los Angeles,67.7,84.2,"43,289",https://www.usnews.com/education/best-global-universities/university-of-california-los-angeles-110662
