ranking,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
1,biology-biochemistry,1,Harvard University,United States,Cambridge (U.S.),100,100,"21,887",https://www.usnews.com/education/best-global-universities/harvard-university-166027
2,biology-biochemistry,2,Massachusetts Institute of Technology (MIT),United States,Cambridge (U.S.),91.9,97.7,"11,415",https://www.usnews.com/education/best-global-universities/massachusetts-institute-of-technology-mit-166683
3,biology-biochemistry,3,Stanford University,United States,Stanford,88.8,95.2,"16,164",https://www.usnews.com/education/best-global-universities/stanford-university-243744
4,biology-biochemistry,4,University of California Berkeley,United States,Berkeley,82.7,88.7,"40,921",https://www.usnews.com/education/best-global-universities/university-of-california-berkeley-110635
5,biology-biochemistry,16,University of California San Francisco,United States,San Francisco,81.7,83.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-san-francisco-110699
6,biology-biochemistry,8,University of Cambridge,United Kingdom,Cambridge (U.K.),80.7,86.1,"20,385",https://www.usnews.com/education/best-global-universities/university-of-cambridge-502149
7,biology-biochemistry,20,University of California San Diego,United States,La Jolla,79.8,83.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-san-diego-110680
8,biology-biochemistry,6,University of Washington Seattle,United States,Seattle,75.2,86.6,"47,727",https://www.usnews.com/education/best-global-universities/university-of-washington-seattle-236948
9,biology-biochemistry,5,University of Oxford,United Kingdom,Oxford,75,86.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-oxford-503637
10,biology-biochemistry,10,Johns Hopkins University,United States,Baltimore,74.5,84.7,"17,584",https://www.usnews.com/education/best-global-universities/johns-hopkins-university-162928
11,biology-biochemistry,18,University of Toronto,Canada,Toronto,74,83.8,"77,468",https://www.usnews.com/education/best-global-universities/university-of-toronto-499968
12,biology-biochemistry,14,University of California Los Angeles,United States,Los Angeles,73.3,84.2,"43,289",https://www.usnews.com/education/best-global-universities/university-of-california-los-angeles-110662
13,biology-biochemistry,21,Cornell University,United States,Ithaca,72.1,82.9,"24,027",https://www.usnews.com/education/best-global-universities/cornell-university-190415
14,biology-biochemistry,42,University of Copenhagen,Denmark,Copenhagen,71.7,76.2,N/A,https://www.usnews.com/education/best-global-universities/university-of-copenhagen-503710
15,biology-biochemistry,29,ETH Zurich,Switzerland,Zurich,71.4,79.3,"21,209",https://www.usnews.com/education/best-global-universities/eth-zurich-502241
16,biology-biochemistry,12,University College London,United Kingdom,London (U.K.),71.3,84.4,"36,900",https://www.usnews.com/education/best-global-universities/university-college-london-501693
17,biology-biochemistry,23,Tsinghua University,China,Beijing,70.8,81.3,N/A,https://www.usnews.com/education/best-global-universities/tsinghua-university-503146
18,biology-biochemistry,7,Columbia University,United States,New York City,70.4,86.5,"21,781",https://www.usnews.com/education/best-global-universities/columbia-university-190150
19,biology-biochemistry,15,University of Pennsylvania,United States,Philadelphia,70.2,84,"21,453",https://www.usnews.com/education/best-global-universities/university-of-pennsylvania-215062
20,biology-biochemistry,11,Yale University,United States,New Haven,70.1,84.6,"13,482",https://www.usnews.com/education/best-global-universities/yale-university-130794
21,biology-biochemistry,19,University of Michigan,United States,Ann Arbor,69.9,83.4,"46,146",https://www.usnews.com/education/best-global-universities/university-of-michigan-170976
22,biology-biochemistry,13,Imperial College London,United Kingdom,London (U.K.),69.3,84.3,"18,455",https://www.usnews.com/education/best-global-universities/imperial-college-london-505571
23,biology-biochemistry,31,New York University,United States,New York City,68.2,78.5,"36,337",https://www.usnews.com/education/best-global-universities/new-york-university-193900
24,biology-biochemistry,51,Karolinska Institutet,Sweden,Stockholm,67.7,74.9,"8,021",https://www.usnews.com/education/best-global-universities/karolinska-institutet-503151
25,biology-biochemistry,32,Washington University (WUSTL),United States,St. Louis,67.5,78.1,"14,761",https://www.usnews.com/education/best-global-universities/washington-university-wustl-179867
26,biology-biochemistry,48,Universite de Paris,France,Paris,66.8,75.2,N/A,https://www.usnews.com/education/best-global-universities/universite-de-paris-529677
27,biology-biochemistry,25,Duke University,United States,"Durham (North Carolina, U.S.)",66.2,80.7,N/A,https://www.usnews.com/education/best-global-universities/duke-university-198419
28,biology-biochemistry,57,Ruprecht Karls University Heidelberg,Germany,Heidelberg,66.2,74.3,"19,347",https://www.usnews.com/education/best-global-universities/ruprecht-karls-university-heidelberg-506277
29,biology-biochemistry,67,University of Zurich,Switzerland,Zurich,65.9,73.3,"25,255",https://www.usnews.com/education/best-global-universities/university-of-zurich-505287
30,biology-biochemistry,26,National University of Singapore,Singapore,Singapore,65.2,80.4,"32,337",https://www.usnews.com/education/best-global-universities/national-university-of-singapore-505009
31,biology-biochemistry,9,California Institute of Technology,United States,Pasadena,65.1,85.6,"2,237",https://www.usnews.com/education/best-global-universities/california-institute-of-technology-110404
32,biology-biochemistry,39,Peking University,China,Beijing,65.1,76.8,"31,994",https://www.usnews.com/education/best-global-universities/peking-university-501148
